the_geom,cartodb_id,has_toilets,_unique,access_direction,category,distance_from,has_bbq,has_caravan_disposal,has_emergency_phones,has_lighting,has_litter_bins,has_picnic_table,has_playground,has_power_outlets,has_shelter,is_accessible,latitude,longitude,responsible_authority,rest_area_name,rest_area_number,road_name,road_number,side,type,last_updated
0101000020E6100000F7C77BD5CAEA624072FE2614225440C0,49106,TRUE,"0006011,0240,B1",Eastbound,RA,3.2 km from Branxton,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,-32.65729,151.33726,Roads and Maritime Services,Branxton Truck Rest Area,3309,HUNTER EXPRESSWAY,6011,L,H,20200601
0101000020E61000009B8F6B43C5226340357BA01518523EC0,49107,TRUE,"0000010,2490,C1",Southbound,SCT,0 km from Stadium Drive Coffs Harbour,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,-30.32068,153.08658,P,Coffs South Service Centre,4134,PACIFIC HIGHWAY,10,R,L,20200601
0101000020E610000017821C9430B86140E73A8DB454CA40C0,49108,TRUE,"0000022,0120,A1",Both,RA,67km from Wentworth and  200km to Broken Hill,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,-33.58071,141.75593,Roads and Maritime Services,Bunnerungee Rest Area,3019,SILVER CITY HIGHWAY,22,R,L,20200601
0101000020E6100000A796ADF5456F6240DF37BEF6CC2A41C0,49109,FALSE,"0000057,0110,A1",Both,PA,14km from Temora and  55km to West Wyalong,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,-34.33438,147.47729,Roads and Maritime Services,Schmidts Lane,295,GOLDFIELDS WAY,57,R,B,20200601
0101000020E6100000938C9C853D776240249C16BCE83B41C0,49110,TRUE,"0000084,0190,A1",Both,RA,62.5km from Harden and 19.6km to Temora,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,-34.46804,147.72626,Council,Spingdale,2013,BURLEY GRIFFIN WAY,84,R,B,20200601
0101000020E6100000A796ADF5456F6240DF37BEF6CC2A41C0,49111,FALSE,"0000057,0110,A1",Both,PA,14km from Temora and  55km to West Wyalong,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,-34.33438,147.47729,Roads and Maritime Services,Schmidts Lane,294,GOLDFIELDS WAY,57,L,B,20200601
0101000020E61000000FEECEDA6D366240BBF2599E074341C0,49112,TRUE,"0000014,0310,A1",Both,RA,89km from Narrandera and  84km to Hay,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,-34.52367,145.70091,Roads and Maritime Services,Birdcage Rest Area,232,STURT HIGHWAY,14,L,B,20200601
0101000020E6100000541D7233DC5A62403EB324404D3941C0,49113,TRUE,"0000017,2350,A1",Southbound,RA,55km from Narrandera and  81km to West Wyalong,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,-34.44767,146.83938,Roads and Maritime Services,Ardlethan Rest Area-Southbound,3011,NEWELL HIGHWAY,17,R,H,20200601
0101000020E610000075CDE49B6DA0624049A297512C6B41C0,49114,FALSE,"0000002,1402,B1",Both,RA,71km from Goulburn and 12km to Yass,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,-34.83729,149.01338,Roads and Maritime Services,Yass Valley Way,93,HUME HIGHWAY,2,L,L,20200601
0101000020E610000024624A24D18E62408F19A88C7FD341C0,49115,TRUE,"0000004,0450,A2",Both,RA,118km from Cooma and  63km to Tumut,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,-35.65233,148.46303,National Parks and Wildlife Service,Yarrangobilly River Rest Area,464,SNOWY MOUNTAINS HIGHWAY,4,L,L,20200601
